"","Week","Barrels"
"1",7704,6.621
"2",7711,6.433
"3",7718,6.582
"4",7725,7.224
"5",7732,6.875
"6",7739,6.947
"7",7746,7.328
"8",7753,6.777
"9",7760,7.503
"10",7767,6.916
"11",7774,7.045
"12",7781,6.956
"13",7788,6.976
"14",7795,7.185
"15",7802,6.899
"16",7809,7.396
"17",7816,7.287
"18",7823,7.22
"19",7830,7.651
"20",7837,7.72
"21",7844,7.543
"22",7851,7.961
"23",7858,7.327
"24",7865,7.38
"25",7872,7.501
"26",7879,7.605
"27",7886,7.584
"28",7893,7.401
"29",7900,7.505
"30",7907,7.427
"31",7914,6.993
"32",7921,7.402
"33",7928,7.391
"34",7935,7.088
"35",7942,6.949
"36",7949,7.506
"37",7956,7.396
"38",7963,7.421
"39",7970,7.159
"40",7977,7.379
"41",7984,7.369
"42",7991,6.652
"43",7998,6.769
"44",8005,6.828
"45",8012,7.344
"46",8019,7.447
"47",8026,7.186
"48",8033,6.642
"49",8040,6.788
"50",8047,6.783
"51",8054,7.037
"52",8061,7.112
"53",8068,7.039
"54",8075,6.576
"55",8082,7.002
"56",8089,6.77
"57",8096,7.002
"58",8103,6.806
"59",8110,7.221
"60",8117,7.379
"61",8124,7.027
"62",8131,7.744
"63",8138,6.464
"64",8145,7.376
"65",8152,7.899
"66",8159,7.318
"67",8166,7.174
"68",8173,7.086
"69",8180,7.774
"70",8187,7.104
"71",8194,7.129
"72",8201,7.407
"73",8208,7.701
"74",8215,7.572
"75",8222,7.813
"76",8229,7.422
"77",8236,7.792
"78",8243,7.433
"79",8250,7.796
"80",8257,7.7
"81",8264,7.365
"82",8271,7.814
"83",8278,7.326
"84",8285,7.473
"85",8292,7.181
"86",8299,7.286
"87",8306,7.293
"88",8313,7.514
"89",8320,7.204
"90",8327,7.276
"91",8334,7.509
"92",8341,6.923
"93",8348,7.056
"94",8355,7.24
"95",8362,7.138
"96",8369,7.432
"97",8376,7.354
"98",8383,7.4
"99",8390,7.596
"100",8397,7.358
"101",8404,6.852
"102",8411,6.726
"103",8418,7.131
"104",8425,6.603
"105",8432,7.322
"106",8439,6.779
"107",8446,7.325
"108",8453,6.961
"109",8460,7.188
"110",8467,7.1
"111",8474,7.239
"112",8481,7.194
"113",8488,6.964
"114",8495,6.797
"115",8502,7.561
"116",8509,7.392
"117",8516,7.47
"118",8523,7.657
"119",8530,7.649
"120",8537,7.295
"121",8544,7.364
"122",8551,7.018
"123",8558,7.74
"124",8565,7.392
"125",8572,7.804
"126",8579,7.868
"127",8586,7.578
"128",8593,8.113
"129",8600,7.916
"130",8607,7.336
"131",8614,8.033
"132",8621,7.581
"133",8628,8.187
"134",8635,7.629
"135",8642,7.386
"136",8649,7.889
"137",8656,7.478
"138",8663,7.485
"139",8670,7.387
"140",8677,7.276
"141",8684,7.613
"142",8691,7.704
"143",8698,7.788
"144",8705,7.64
"145",8712,7.552
"146",8719,7.992
"147",8726,6.845
"148",8733,7.43
"149",8740,8.074
"150",8747,7.684
"151",8754,7.411
"152",8761,7.567
"153",8768,7.124
"154",8775,7.124
"155",8782,7.157
"156",8789,6.321
"157",8796,6.953
"158",8803,7.487
"159",8810,6.993
"160",8817,7.372
"161",8824,7.286
"162",8831,7.214
"163",8838,7.521
"164",8845,7.481
"165",8852,7.398
"166",8859,7.187
"167",8866,7.72
"168",8873,7.042
"169",8880,7.892
"170",8887,6.824
"171",8894,7.552
"172",8901,7.938
"173",8908,8.028
"174",8915,7.461
"175",8922,7.77
"176",8929,7.65
"177",8936,7.909
"178",8943,7.93
"179",8950,7.562
"180",8957,8.006
"181",8964,7.523
"182",8971,7.581
"183",8978,7.638
"184",8985,8.187
"185",8992,7.836
"186",8999,7.75
"187",9006,8.061
"188",9013,6.955
"189",9020,7.601
"190",9027,7.763
"191",9034,7.733
"192",9041,7.515
"193",9048,7.562
"194",9055,8.143
"195",9062,8.204
"196",9069,7.432
"197",9076,7.377
"198",9083,7.929
"199",9090,7.431
"200",9097,7.593
"201",9104,8.229
"202",9111,7.933
"203",9118,8.278
"204",9125,7.718
"205",9132,7.134
"206",9139,7.534
"207",9146,7.26
"208",9153,6.976
"209",9160,7.267
"210",9167,7.132
"211",9174,7.398
"212",9181,7.67
"213",9188,7.194
"214",9195,7.548
"215",9202,7.834
"216",9209,7.797
"217",9216,8.195
"218",9223,7.588
"219",9230,7.543
"220",9237,8.156
"221",9244,7.731
"222",9251,7.539
"223",9258,8.052
"224",9265,8.183
"225",9272,7.797
"226",9279,8.46
"227",9286,8.055
"228",9293,7.971
"229",9300,8.489
"230",9307,8.238
"231",9314,7.996
"232",9321,7.866
"233",9328,8.483
"234",9335,8.213
"235",9342,8.402
"236",9349,7.628
"237",9356,8.411
"238",9363,8.206
"239",9370,7.825
"240",9377,8.078
"241",9384,8.249
"242",9391,7.821
"243",9398,7.257
"244",9405,8.106
"245",9412,7.879
"246",9419,7.712
"247",9426,8.103
"248",9433,7.449
"249",9440,8.477
"250",9447,8.021
"251",9454,7.84
"252",9461,7.439
"253",9468,7.949
"254",9475,7.489
"255",9482,8.115
"256",9489,7.035
"257",9496,7.958
"258",9503,7.513
"259",9510,6.949
"260",9517,7.393
"261",9524,7.513
"262",9531,7.52
"263",9538,7.868
"264",9545,7.826
"265",9552,7.338
"266",9559,7.877
"267",9566,7.757
"268",9573,7.9
"269",9580,7.568
"270",9587,7.28
"271",9594,7.804
"272",9601,7.433
"273",9608,8.079
"274",9615,7.592
"275",9622,8.267
"276",9629,7.512
"277",9636,8.08
"278",9643,7.836
"279",9650,7.946
"280",9657,7.957
"281",9664,7.956
"282",9671,8.563
"283",9678,8.015
"284",9685,7.968
"285",9692,8.152
"286",9699,8.067
"287",9706,8.279
"288",9713,7.722
"289",9720,7.818
"290",9727,8.364
"291",9734,8.369
"292",9741,7.843
"293",9748,7.537
"294",9755,8
"295",9762,7.619
"296",9769,7.935
"297",9776,7.637
"298",9783,7.958
"299",9790,7.991
"300",9797,7.682
"301",9804,7.804
"302",9811,8.073
"303",9818,7.883
"304",9825,7.37
"305",9832,7.706
"306",9839,8.355
"307",9846,8.051
"308",9853,7.74
"309",9860,7.122
"310",9867,7.44
"311",9874,7.408
"312",9881,7.265
"313",9888,7.125
"314",9895,7.013
"315",9902,7.53
"316",9909,8.011
"317",9916,7.779
"318",9923,7.417
"319",9930,8.125
"320",9937,7.729
"321",9944,7.492
"322",9951,8.115
"323",9958,7.791
"324",9965,7.914
"325",9972,7.922
"326",9979,8.224
"327",9986,7.765
"328",9993,8.253
"329",10000,8.088
"330",10007,8.154
"331",10014,7.59
"332",10021,8.009
"333",10028,8.557
"334",10035,8.234
"335",10042,8.489
"336",10049,8.606
"337",10056,8.595
"338",10063,8.6
"339",10070,8.29
"340",10077,8.253
"341",10084,8.539
"342",10091,7.922
"343",10098,8.695
"344",10105,8.053
"345",10112,8.215
"346",10119,7.746
"347",10126,8.14
"348",10133,8.379
"349",10140,8.221
"350",10147,8.315
"351",10154,7.741
"352",10161,8.355
"353",10168,8.025
"354",10175,7.793
"355",10182,8.043
"356",10189,7.578
"357",10196,8.437
"358",10203,7.955
"359",10210,8.151
"360",10217,8.201
"361",10224,7.832
"362",10231,7.673
"363",10238,7.779
"364",10245,7.94
"365",10252,7.67
"366",10259,7.673
"367",10266,8.201
"368",10273,8.005
"369",10280,7.662
"370",10287,7.744
"371",10294,8.103
"372",10301,7.753
"373",10308,7.996
"374",10315,8.992
"375",10322,8.031
"376",10329,8.303
"377",10336,8.118
"378",10343,8.19
"379",10350,7.503
"380",10357,8.524
"381",10364,8.337
"382",10371,8.205
"383",10378,8.312
"384",10385,8.103
"385",10392,8.16
"386",10399,8.644
"387",10406,8.755
"388",10413,8.234
"389",10420,8.749
"390",10427,8.125
"391",10434,8.997
"392",10441,8.317
"393",10448,8.981
"394",10455,8.288
"395",10462,8.607
"396",10469,8.713
"397",10476,8.722
"398",10483,7.873
"399",10490,8.359
"400",10497,8.058
"401",10504,8.797
"402",10511,8.049
"403",10518,8.099
"404",10525,8.36
"405",10532,8.195
"406",10539,7.711
"407",10546,8.381
"408",10553,8.313
"409",10560,8.162
"410",10567,8.314
"411",10574,8.588
"412",10581,8.153
"413",10588,8.519
"414",10595,7.385
"415",10602,7.81
"416",10609,8.186
"417",10616,7.866
"418",10623,7.532
"419",10630,8.756
"420",10637,7.948
"421",10644,8.316
"422",10651,8.273
"423",10658,8.451
"424",10665,8.367
"425",10672,8.337
"426",10679,7.959
"427",10686,7.878
"428",10693,8.066
"429",10700,8.923
"430",10707,7.825
"431",10714,8.059
"432",10721,8.761
"433",10728,8.275
"434",10735,8.401
"435",10742,8.193
"436",10749,8.827
"437",10756,8.522
"438",10763,9.045
"439",10770,9.076
"440",10777,8.679
"441",10784,8.622
"442",10791,8.639
"443",10798,8.537
"444",10805,8.644
"445",10812,8.519
"446",10819,8.415
"447",10826,8.81
"448",10833,8.778
"449",10840,8.593
"450",10847,8.504
"451",10854,8.865
"452",10861,8.557
"453",10868,8.433
"454",10875,8.406
"455",10882,8.521
"456",10889,8.532
"457",10896,8.333
"458",10903,8.416
"459",10910,8.404
"460",10917,8.416
"461",10924,7.67
"462",10931,8.557
"463",10938,8.638
"464",10945,8.59
"465",10952,8.851
"466",10959,7.907
"467",10966,7.543
"468",10973,7.919
"469",10980,8.385
"470",10987,7.642
"471",10994,8.375
"472",11001,8.524
"473",11008,8.072
"474",11015,7.608
"475",11022,8.662
"476",11029,8.201
"477",11036,8.384
"478",11043,7.896
"479",11050,8.655
"480",11057,8.557
"481",11064,8.616
"482",11071,8.302
"483",11078,8.679
"484",11085,8.242
"485",11092,8.408
"486",11099,9.075
"487",11106,8.863
"488",11113,8.403
"489",11120,8.895
"490",11127,8.475
"491",11134,8.62
"492",11141,8.519
"493",11148,8.844
"494",11155,8.361
"495",11162,8.614
"496",11169,8.759
"497",11176,8.813
"498",11183,8.786
"499",11190,8.96
"500",11197,8.644
"501",11204,8.573
"502",11211,8.814
"503",11218,8.153
"504",11225,7.819
"505",11232,8.34
"506",11239,8.663
"507",11246,8.604
"508",11253,8.942
"509",11260,8.78
"510",11267,8.216
"511",11274,8.419
"512",11281,8.063
"513",11288,8.233
"514",11295,8.711
"515",11302,8.475
"516",11309,8.4
"517",11316,8.693
"518",11323,7.825
"519",11330,8.225
"520",11337,7.894
"521",11344,7.338
"522",11351,8.589
"523",11358,8.032
"524",11365,7.85
"525",11372,8.187
"526",11379,8.489
"527",11386,8.425
"528",11393,8.484
"529",11400,8.475
"530",11407,8.507
"531",11414,8.306
"532",11421,8.438
"533",11428,8.708
"534",11435,8.404
"535",11442,8.665
"536",11449,8.275
"537",11456,8.917
"538",11463,8.27
"539",11470,8.809
"540",11477,8.428
"541",11484,8.393
"542",11491,8.921
"543",11498,9.036
"544",11505,8.622
"545",11512,9.095
"546",11519,9.176
"547",11526,9.007
"548",11533,8.959
"549",11540,8.671
"550",11547,9.035
"551",11554,8.943
"552",11561,8.612
"553",11568,8.529
"554",11575,8.969
"555",11582,7.834
"556",11589,8.514
"557",11596,8.5
"558",11603,8.766
"559",11610,8.619
"560",11617,8.702
"561",11624,8.797
"562",11631,8.771
"563",11638,8.612
"564",11645,8.868
"565",11652,8.517
"566",11659,8.327
"567",11666,8.622
"568",11673,8.888
"569",11680,8.86
"570",11687,8.288
"571",11694,8.359
"572",11701,8.049
"573",11708,8.184
"574",11715,8.223
"575",11722,8.117
"576",11729,8.428
"577",11736,8.729
"578",11743,8.782
"579",11750,8.277
"580",11757,8.713
"581",11764,8.621
"582",11771,8.386
"583",11778,8.865
"584",11785,8.84
"585",11792,8.684
"586",11799,8.699
"587",11806,8.521
"588",11813,8.548
"589",11820,9.19
"590",11827,8.685
"591",11834,8.778
"592",11841,9.004
"593",11848,8.771
"594",11855,8.752
"595",11862,9.172
"596",11869,9.004
"597",11876,8.985
"598",11883,9.056
"599",11890,9.093
"600",11897,9.297
"601",11904,9.27
"602",11911,8.939
"603",11918,9.173
"604",11925,9.135
"605",11932,8.844
"606",11939,8.899
"607",11946,8.625
"608",11953,8.582
"609",11960,8.895
"610",11967,9.09
"611",11974,8.653
"612",11981,9.022
"613",11988,9.324
"614",11995,8.759
"615",12002,8.54
"616",12009,8.667
"617",12016,9.06
"618",12023,8.616
"619",12030,8.854
"620",12037,9.063
"621",12044,8.989
"622",12051,8.411
"623",12058,8.335
"624",12065,8.645
"625",12072,8.793
"626",12079,8.551
"627",12086,8.106
"628",12093,8.454
"629",12100,8.619
"630",12107,8.421
"631",12114,9.02
"632",12121,8.596
"633",12128,8.666
"634",12135,8.284
"635",12142,8.458
"636",12149,8.64
"637",12156,8.737
"638",12163,8.358
"639",12170,8.834
"640",12177,8.894
"641",12184,8.992
"642",12191,9.299
"643",12198,8.516
"644",12205,8.529
"645",12212,8.88
"646",12219,8.833
"647",12226,9.476
"648",12233,9.05
"649",12240,8.763
"650",12247,9.177
"651",12254,9.563
"652",12261,9.303
"653",12268,9.381
"654",12275,9.325
"655",12282,9.668
"656",12289,9.337
"657",12296,8.886
"658",12303,8.974
"659",12310,9.166
"660",12317,8.69
"661",12324,9.19
"662",12331,9.156
"663",12338,8.754
"664",12345,9.413
"665",12352,9.316
"666",12359,8.995
"667",12366,9.232
"668",12373,8.725
"669",12380,8.979
"670",12387,8.776
"671",12394,8.93
"672",12401,9.166
"673",12408,8.726
"674",12415,8.686
"675",12422,8.411
"676",12429,8.426
"677",12436,8.543
"678",12443,8.514
"679",12450,8.627
"680",12457,8.727
"681",12464,8.796
"682",12471,8.97
"683",12478,8.968
"684",12485,9.044
"685",12492,8.818
"686",12499,8.731
"687",12506,9.249
"688",12513,9.338
"689",12520,8.973
"690",12527,9.255
"691",12534,8.926
"692",12541,9.373
"693",12548,9.119
"694",12555,9.154
"695",12562,9.259
"696",12569,9.045
"697",12576,9.219
"698",12583,9.194
"699",12590,9.199
"700",12597,9.398
"701",12604,9.3
"702",12611,8.84
"703",12618,9.31
"704",12625,9.263
"705",12632,9.472
"706",12639,9.521
"707",12646,9.424
"708",12653,9.267
"709",12660,9.453
"710",12667,9.234
"711",12674,9.005
"712",12681,8.922
"713",12688,8.915
"714",12695,8.917
"715",12702,9.177
"716",12709,8.883
"717",12716,8.977
"718",12723,9.217
"719",12730,9.237
"720",12737,8.988
"721",12744,9.204
"722",12751,9.107
"723",12758,9.268
"724",12765,9.068
"725",12772,9.329
"726",12779,9.287
"727",12786,8.71
"728",12793,8.695
"729",12800,8.881
"730",12807,8.848
"731",12814,8.837
"732",12821,8.825
"733",12828,8.898
"734",12835,8.884
"735",12842,9.014
"736",12849,9.131
"737",12856,9.069
"738",12863,9.075
"739",12870,9.095
"740",12877,9.089
"741",12884,9.17
"742",12891,9.306
"743",12898,9.024
"744",12905,9.175
"745",12912,9.269
"746",12919,9.443
"747",12926,9.461
"748",12933,9.451
"749",12940,9.528
"750",12947,9.313
"751",12954,9.367
"752",12961,9.721
"753",12968,9.391
"754",12975,9.415
"755",12982,9.449
"756",12989,9.586
"757",12996,9.483
"758",13003,9.408
"759",13010,9.471
"760",13017,9.406
"761",13024,9.027
"762",13031,8.636
"763",13038,8.819
"764",13045,8.836
"765",13052,8.84
"766",13059,8.783
"767",13066,8.961
"768",13073,8.981
"769",13080,9.045
"770",13087,9.246
"771",13094,9.151
"772",13101,9.124
"773",13108,9.189
"774",13115,9.221
"775",13122,9.268
"776",13129,9.326
"777",13136,9.249
"778",13143,9.358
"779",13150,8.95
"780",13157,8.859
"781",13164,8.826
"782",13171,8.879
"783",13178,8.967
"784",13185,9.083
"785",13192,9.046
"786",13199,8.951
"787",13206,9.057
"788",13213,9.106
"789",13220,9.1
"790",13227,9.054
"791",13234,9.063
"792",13241,9.297
"793",13248,9.1
"794",13255,9.012
"795",13262,9.099
"796",13269,9.346
"797",13276,9.327
"798",13283,9.193
"799",13290,9.43
"800",13297,9.367
"801",13304,9.413
"802",13311,9.429
"803",13318,9.54
"804",13325,9.645
"805",13332,9.621
"806",13339,9.569
"807",13346,9.573
"808",13353,9.639
"809",13360,9.697
"810",13367,9.53
"811",13374,9.571
"812",13381,9.61
"813",13388,9.622
"814",13395,9.368
"815",13402,9.229
"816",13409,9.287
"817",13416,9.081
"818",13423,9.242
"819",13430,9.298
"820",13437,9.511
"821",13444,9.499
"822",13451,9.256
"823",13458,9.11
"824",13465,9.149
"825",13472,9.32
"826",13479,9.477
"827",13486,9.394
"828",13493,9.491
"829",13500,9.229
"830",13507,9.247
"831",13514,9.201
"832",13521,9.06
"833",13528,9.008
"834",13535,9.09
"835",13542,9.136
"836",13549,9.061
"837",13556,9.198
"838",13563,9.121
"839",13570,9.191
"840",13577,9.158
"841",13584,9.24
"842",13591,9.25
"843",13598,9.491
"844",13605,9.472
"845",13612,9.247
"846",13619,9.163
"847",13626,9.26
"848",13633,9.344
"849",13640,9.404
"850",13647,9.433
"851",13654,9.485
"852",13661,9.495
"853",13668,9.487
"854",13675,9.591
"855",13682,9.575
"856",13689,9.557
"857",13696,9.663
"858",13703,9.71
"859",13710,9.688
"860",13717,9.662
"861",13724,9.575
"862",13731,9.572
"863",13738,9.762
"864",13745,9.626
"865",13752,9.577
"866",13759,9.393
"867",13766,9.247
"868",13773,9.235
"869",13780,9.12
"870",13787,9.2
"871",13794,9.253
"872",13801,9.373
"873",13808,9.355
"874",13815,9.367
"875",13822,9.187
"876",13829,9.222
"877",13836,9.356
"878",13843,9.266
"879",13850,9.348
"880",13857,9.287
"881",13864,9.446
"882",13871,9.286
"883",13878,9.304
"884",13885,9.116
"885",13892,8.964
"886",13899,8.94
"887",13906,8.916
"888",13913,9.02
"889",13920,9.125
"890",13927,9.045
"891",13934,9.071
"892",13941,9.131
"893",13948,9.071
"894",13955,9.116
"895",13962,9.33
"896",13969,9.286
"897",13976,9.338
"898",13983,9.215
"899",13990,9.189
"900",13997,9.311
"901",14004,9.343
"902",14011,9.359
"903",14018,9.373
"904",14025,9.129
"905",14032,9.411
"906",14039,9.251
"907",14046,9.334
"908",14053,9.357
"909",14060,9.347
"910",14067,9.344
"911",14074,9.342
"912",14081,9.468
"913",14088,9.484
"914",14095,9.446
"915",14102,9.423
"916",14109,9.411
"917",14116,9.424
"918",14123,9.09
"919",14130,8.907
"920",14137,8.741
"921",14144,8.73
"922",14151,8.691
"923",14158,8.894
"924",14165,9.065
"925",14172,9.057
"926",14179,9.095
"927",14186,9.002
"928",14193,8.962
"929",14200,8.844
"930",14207,8.933
"931",14214,9.015
"932",14221,9.175
"933",14228,8.867
"934",14235,9.106
"935",14242,8.99
"936",14249,8.758
"937",14256,8.641
"938",14263,8.65
"939",14270,9.015
"940",14277,9.006
"941",14284,8.908
"942",14291,9.01
"943",14298,9.204
"944",14305,8.972
"945",14312,8.955
"946",14319,9.1
"947",14326,9.125
"948",14333,9.024
"949",14340,8.944
"950",14347,9.136
"951",14354,9.151
"952",14361,8.923
"953",14368,8.911
"954",14375,9.232
"955",14382,9.538
"956",14389,9.02
"957",14396,9.141
"958",14403,9.354
"959",14410,9.129
"960",14417,9.053
"961",14424,9.229
"962",14431,9.163
"963",14438,9.255
"964",14445,9.171
"965",14452,9.199
"966",14459,8.951
"967",14466,9.205
"968",14473,9.105
"969",14480,9.478
"970",14487,9.283
"971",14494,9.001
"972",14501,8.79
"973",14508,9.126
"974",14515,9.269
"975",14522,9.256
"976",14529,8.95
"977",14536,8.858
"978",14543,9.015
"979",14550,8.844
"980",14557,9.015
"981",14564,9.092
"982",14571,8.943
"983",14578,9.012
"984",14585,8.963
"985",14592,9.045
"986",14599,9.074
"987",14606,8.741
"988",14613,8.74
"989",14620,8.602
"990",14627,8.619
"991",14634,8.613
"992",14641,8.766
"993",14648,8.521
"994",14655,9.064
"995",14662,8.882
"996",14669,8.992
"997",14676,8.849
"998",14683,9.087
"999",14690,9.06
"1000",14697,9.076
"1001",14704,9.325
"1002",14711,9.152
"1003",14718,9.29
"1004",14725,9.282
"1005",14732,9.14
"1006",14739,9.092
"1007",14746,9.099
"1008",14753,9.174
"1009",14760,9.194
"1010",14767,9.338
"1011",14774,9.241
"1012",14781,9.462
"1013",14788,9.449
"1014",14795,9.08
"1015",14802,9.435
"1016",14809,9.632
"1017",14816,9.477
"1018",14823,9.236
"1019",14830,9.459
"1020",14837,9.375
"1021",14844,9.386
"1022",14851,9.263
"1023",14858,9.019
"1024",14865,8.847
"1025",14872,9.383
"1026",14879,8.989
"1027",14886,8.812
"1028",14893,8.891
"1029",14900,9.358
"1030",14907,9.015
"1031",14914,9.056
"1032",14921,8.952
"1033",14928,8.829
"1034",14935,8.867
"1035",14942,9.171
"1036",14949,9.349
"1037",14956,9.213
"1038",14963,9.399
"1039",14970,8.853
"1040",14977,8.819
"1041",14984,8.775
"1042",14991,8.632
"1043",14998,8.549
"1044",15005,8.524
"1045",15012,8.81
"1046",15019,9.101
"1047",15026,9.162
"1048",15033,9.192
"1049",15040,8.83
"1050",15047,9.074
"1051",15054,8.866
"1052",15061,8.853
"1053",15068,9.181
"1054",15075,9.062
"1055",15082,9.148
"1056",15089,8.943
"1057",15096,8.826
"1058",15103,9.048
"1059",15110,9.025
"1060",15117,9.431
"1061",15124,9.163
"1062",15131,9.37
"1063",15138,9.319
"1064",15145,9.261
"1065",15152,9.309
"1066",15159,9.016
"1067",15166,9.028
"1068",15173,8.999
"1069",15180,9.215
"1070",15187,9.244
"1071",15194,9.195
"1072",15201,9.009
"1073",15208,9.229
"1074",15215,8.956
"1075",15222,8.848
"1076",15229,8.858
"1077",15236,8.964
"1078",15243,8.959
"1079",15250,9.01
"1080",15257,8.598
"1081",15264,8.501
"1082",15271,8.518
"1083",15278,8.671
"1084",15285,8.625
"1085",15292,8.592
"1086",15299,8.769
"1087",15306,8.574
"1088",15313,8.666
"1089",15320,8.879
"1090",15327,8.923
"1091",15334,8.556
"1092",15341,8.179
"1093",15348,7.996
"1094",15355,8.098
"1095",15362,8.018
"1096",15369,8.039
"1097",15376,8.167
"1098",15383,8.628
"1099",15390,8.363
"1100",15397,8.262
"1101",15404,8.415
"1102",15411,8.379
"1103",15418,8.71
"1104",15425,8.783
"1105",15432,8.681
"1106",15439,8.775
"1107",15446,8.496
"1108",15453,8.692
"1109",15460,8.864
"1110",15467,8.971
"1111",15474,8.633
"1112",15481,8.931
"1113",15488,8.648
"1114",15495,9.13
"1115",15502,8.693
"1116",15509,8.846
"1117",15516,9.001
"1118",15523,8.917
"1119",15530,8.628
"1120",15537,8.66
"1121",15544,8.82
"1122",15551,8.839
"1123",15558,9.308
"1124",15565,9.081
"1125",15572,9.064
"1126",15579,9.177
"1127",15586,8.695
"1128",15593,8.632
"1129",15600,8.77
"1130",15607,8.633
"1131",15614,8.587
"1132",15621,8.729
"1133",15628,8.493
"1134",15635,8.844
"1135",15642,8.307
"1136",15649,8.908
"1137",15656,8.898
"1138",15663,8.427
"1139",15670,8.354
"1140",15677,8.488
"1141",15684,8.618
"1142",15691,8.608
"1143",15698,8.518
"1144",15705,8.01
"1145",15712,8.32
"1146",15719,8.431
"1147",15726,8.501
"1148",15733,8.415
"1149",15740,8.404
"1150",15747,8.437
"1151",15754,8.597
"1152",15761,8.364
"1153",15768,8.627
"1154",15775,8.324
"1155",15782,8.399
"1156",15789,8.523
"1157",15796,8.477
"1158",15803,8.383
"1159",15810,8.75
"1160",15817,8.415
"1161",15824,8.445
"1162",15831,8.341
"1163",15838,8.79
"1164",15845,8.956
"1165",15852,8.822
"1166",15859,8.648
"1167",15866,8.84
"1168",15873,8.894
"1169",15880,9.294
"1170",15887,9.299
"1171",15894,8.729
"1172",15901,8.982
"1173",15908,9.147
"1174",15915,9.246
"1175",15922,9.19
"1176",15929,9.2
"1177",15936,9.031
"1178",15943,9.094
"1179",15950,8.605
"1180",15957,9.028
"1181",15964,8.846
"1182",15971,8.527
"1183",15978,8.846
"1184",15985,9.077
"1185",15992,8.797
"1186",15999,9.054
"1187",16006,9.292
"1188",16013,9.032
"1189",16020,8.924
"1190",16027,8.909
"1191",16034,8.873
"1192",16041,8.348
"1193",16048,9.016
"1194",16055,9.176
"1195",16062,8.893
"1196",16069,8.274
"1197",16076,8.021
"1198",16083,8.059
"1199",16090,8.584
"1200",16097,8.452
"1201",16104,8.325
"1202",16111,8.03
"1203",16118,8.535
"1204",16125,8.411
"1205",16132,8.949
"1206",16139,8.512
"1207",16146,9.002
"1208",16153,8.713
"1209",16160,8.996
"1210",16167,8.616
"1211",16174,8.43
"1212",16181,8.693
"1213",16188,8.719
"1214",16195,9.191
"1215",16202,9.174
"1216",16209,9.31
"1217",16216,9.104
"1218",16223,8.624
"1219",16230,9.258
"1220",16237,8.813
"1221",16244,9.168
"1222",16251,8.935
"1223",16258,9.057
"1224",16265,8.792
"1225",16272,9.006
"1226",16279,9.359
"1227",16286,8.922
"1228",16293,8.775
"1229",16300,9.1
"1230",16307,9.48
"1231",16314,8.611
"1232",16321,8.707
"1233",16328,8.781
"1234",16335,8.66
"1235",16342,8.645
"1236",16349,9.043
"1237",16356,8.836
"1238",16363,8.867
"1239",16370,9.162
"1240",16377,9.005
"1241",16384,9.194
"1242",16391,9.254
"1243",16398,9.425
"1244",16405,8.549
"1245",16412,9.373
"1246",16419,9.518
"1247",16426,9.614
"1248",16433,8.809
"1249",16440,8.875
"1250",16447,8.851
"1251",16454,9.022
"1252",16461,8.442
"1253",16468,8.282
"1254",16475,8.809
"1255",16482,8.915
"1256",16489,8.63
"1257",16496,8.515
"1258",16503,9.26
"1259",16510,8.619
"1260",16517,9.435
"1261",16524,8.61
"1262",16531,8.914
"1263",16538,9.185
"1264",16545,8.92
"1265",16552,8.785
"1266",16559,9.201
"1267",16566,9.261
"1268",16573,9.734
"1269",16580,8.978
"1270",16587,9.6
"1271",16594,9.176
"1272",16601,9.655
"1273",16608,9.731
"1274",16615,9.532
"1275",16622,9.404
"1276",16629,9.749
"1277",16636,9.339
"1278",16643,9.687
"1279",16650,9.686
"1280",16657,9.705
"1281",16664,9.189
"1282",16671,9.438
"1283",16678,9.017
"1284",16685,8.983
"1285",16692,9.215
"1286",16699,9.021
"1287",16706,8.958
"1288",16713,9.137
"1289",16720,9.157
"1290",16727,9.343
"1291",16734,9.184
"1292",16741,9.388
"1293",16748,9.054
"1294",16755,8.921
"1295",16762,9.281
"1296",16769,9.42
"1297",16776,9.22
"1298",16783,9.185
"1299",16790,9.395
"1300",16797,8.159
"1301",16804,8.5
"1302",16811,9.079
"1303",16818,8.941
"1304",16825,8.341
"1305",16832,9.122
"1306",16839,9.203
"1307",16846,9.576
"1308",16853,9.121
"1309",16860,9.411
"1310",16867,9.458
"1311",16874,9.503
"1312",16881,9.244
"1313",16888,9.224
"1314",16895,9.633
"1315",16902,9.444
"1316",16909,9.315
"1317",16916,9.502
"1318",16923,9.658
"1319",16930,9.755
"1320",16937,9.516
"1321",16944,9.716
"1322",16951,9.568
"1323",16958,9.762
"1324",16965,9.815
"1325",16972,9.709
"1326",16979,9.755
"1327",16986,9.671
"1328",16993,9.785
"1329",17000,9.797
"1330",17007,9.752
"1331",17014,9.769
"1332",17021,9.762
"1333",17028,9.659
"1334",17035,9.511
"1335",17042,9.595
"1336",17049,9.406
"1337",17056,9.65
"1338",17063,8.88
"1339",17070,9.39
"1340",17077,9.264
"1341",17084,8.798
"1342",17091,9.118
"1343",17098,9.183
"1344",17105,9.213
"1345",17112,9.359
"1346",17119,9.024
"1347",17126,9.08
"1348",17133,8.757
"1349",17140,8.874
"1350",17147,9.269
"1351",17154,9.278
"1352",17161,8.465
"1353",17168,8.47
"1354",17175,8.069
"1355",17182,8.039
